domain,images_with_captions
m.economictimes.com,3
m.gutenberg.org,1
m.imdb.com,10
m.koreaherald.com,1
m.rediff.com,5
m.thepeninsulaqatar.com,2
m.yelp.com,1
macaudailytimes.com.mo,3
machineryassociates.com,2
madeinshoreditch.co.uk,1
madison.illinoisgenweb.org,4
maf-uk.org,2
magazine.atavist.com,90
magazine.byu.edu,1
magazine.medlineplus.gov,1
maineboats.com,1
mainichi.jp,1
majorspoilers.com,1
malala.org,1
manife.st,1
mapacademy.io,1
marlborough.news,1
marxistleftreview.org,1
maryrose.org,2
mcgregorcoxall.com,1
mdsp.maryland.gov,1
mecco.colorado.edu,1
media.jaguarlandrover.com,2
mediadiversified.org,1
mediaroom.kbb.com,1
medicine.buffalo.edu,1
medyanews.net,1
mei.edu,1
metro.co.uk,13
mhs.mt.gov,1
milehighmaniac.com,1
missionpromise.org,1
missoulian.com,3
mmajunkie.usatoday.com,1
mondoweiss.net,2
money.com,1
monthlyreview.org,2
moroccotravelblog.wordpress.com,1
motherandsriaurobindo.in,1
mousehouselife.wordpress.com,1
moviepooper.com,1
mrdc.health.mil,1
mse.umd.edu,1
msf-crash.org,1
msgdish.com,1
mtstandard.com,4
murciatoday.com,3
musketfire.com,1
muslimheritage.com,1
mx.pinterest.com,1
mydailyartdisplay.uk,1
mynbc15.com,1
mynews13.com,1
nacla.org,1
nap.nationalacademies.org,1
napavalleyregister.com,1
nashvilleguru.com,1
nationaljeweler.com,1
nationalpost.com,4
nationalworld.newsprints.co.uk,1
nationalzoo.si.edu,8
nauticalfree.free.fr,1
nbadraft.theringer.com,1
nbhap.com,1
ndupress.ndu.edu,1
nehandaradio.com,1
nelson-atkins.org,1
nen.press,1
newatlas.com,4
newlinesmag.com,4
newmatilda.com,3
news.amomama.com,1
news.bbc.co.uk,3
news.cnrs.fr,1
news.drake.edu,2
news.harvard.edu,2
news.illinois.edu,1
news.lenovo.com,1
news.mongabay.com,1
news.northeastern.edu,1
news.pollstar.com,1
news.samsung.com,1
news.scranton.edu,1
news.stanford.edu,1
news.ua.edu,1
news.un.org,1
news.uoregon.edu,1
news.va.gov,5
news.virginia.edu,1
news.wfsu.org,1
news.wgcu.org,1
news.wilkes.edu,1
news.yahoo.com,1
newsadvance.com,1
newscorp.com,1
newsletters.lockedonpodcasts.com,1
newsroom.lmu.edu,1
newsroom.porsche.com,1
newsroom.unl.edu,1
niallmcquaid.wordpress.com,1
nj1015.com,1
nmu.edu,1
noirlab.edu,1
northeastscreen.org,1
nortoncenter.com,2
notesfrompoland.com,1
notevenpast.org,1
notintown.net,1
novacapsfans.com,1
nowfashion.com,3
nptelegraph.com,1
nwcraiders.com,1
ny1.com,6
nycdancestuff.wordpress.com,1
nypost.com,14
obamalibrary.archives.gov,5
obamawhitehouse.archives.gov,35
oberlinreview.org,1
obituaries.rwcpulse.com,2
observer.com,5
officesnapshots.com,1
oldwatford.com,2
oll.libertyfund.org,6
onefootball.com,1
oneloveafricapermaculture.wordpress.com,1
onscreenfashiondotcom.wordpress.com,1
op.europa.eu,1
opportunityagenda.org,2
origins.osu.edu,1
ottawacitizen.com,4
outsidethebeltway.com,4
pabucketlist.com,2
packgoats.wordpress.com,1
pagesix.com,3
paininthearsenal.com,1
pantagraph.com,1
parispropertygroup.com,1
passportapproved.com,1
pastexhibitions.guggenheim.org,1
patch.com,4
patriciagestoso.com,1
pausemag.co.uk,1
